shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,snr,luminosity_distance,chi_eff,chirp_mass_source,redshift
GW240622_004008-v1,1403052026.4,18.6,11.3,30.2,28.7,12.7,1470.0,0.25,12.5,0.28
GW240625_073331-v1,1403336029.0,,,,,10.1,,,,
GW240627_131622-v1,1403529400.2,13.2,6.7,20.1,19.3,9.8,1350.0,,8.08,0.26
GW240629_145256-v1,1403707994.8,11.1,7.8,18.9,18.1,12.7,1280.0,0.04,8.01,0.25
GW240630_101703-v1,1403777841.4,28.6,21.6,50.2,48.0,10.6,3200.0,-0.04,21.4,0.54
GW240630_115348-v1,1403783646.7,,,,,8.5,,,,
GW240630_212937-v1,1403818195.4,,,,,8.2,,,,
GW240701_011640-v1,1403831818.5,,,,,7.8,,,,
GW240701_013826-v1,1403833124.0,,,,,10.4,,,,
GW240701_203807-v1,1403901505.2,,,,,7.9,,,,
GW240703_191355-v1,1404069253.3,34.4,26.4,61.2,58.3,10.1,1880.0,0.05,26.2,0.34
GW240705_053215-v1,1404192753.9,47.1,35.3,81.9,78.2,16.8,3700.0,-0.03,34.9,0.61
GW240716_034900-v1,1405136958.5,40.3,26.5,66.8,63.9,12.9,1860.0,-0.02,28.1,0.34
GW240806_043539-v1,1406954157.1,,,,,8.9,,,,
GW240807_214559-v1,1407102377.2,,,,,9.6,,,,
GW240813_034548-v1,1407555966.3,,,,,9.7,,,,
GW240814_145043-v1,1407682261.9,,,,,9.4,,,,
GW240824_205609-v1,1408568187.3,70.0,37.0,107.0,103.0,9.0,5300.0,0.08,43.0,0.81
GW240825_055146-v1,1408600325.0,13.2,7.9,21.3,20.3,10.3,1250.0,0.07,8.77,0.24
GW240828_102340-v1,1408875838.5,,,,,8.0,,,,
GW240830_211120-v1,1409087498.4,11.9,7.8,19.8,18.9,11.1,1140.0,0.07,8.33,0.22
GW240901_195332-v1,1409255630.2,,,,,9.4,,,,
GW240902_143306-v1,1409322804.8,24.4,18.3,42.7,40.8,10.6,2900.0,-0.03,18.2,0.49
GW240907_092521-v1,1409736339.4,,,,,8.3,,,,
GW240907_121650-v1,1409746628.3,,,,,9.8,,,,
GW240907_153833-v1,1409758731.8,38.0,28.3,67.0,63.0,10.5,4500.0,0.04,28.3,0.71
GW240908_082628-v1,1409819206.4,39.8,27.7,68.0,65.0,11.1,3100.0,0.14,28.6,0.53
GW240908_125134-v1,1409835112.3,45.0,32.0,77.0,74.0,8.6,4700.0,-0.09,32.5,0.74
GW240908_174149-v1,1409852527.2,,,,,9.0,,,,
GW240910_103535-v1,1409999753.5,10.9,6.3,17.3,16.6,17.8,740.0,0.12,7.16,0.15
GW240913_111216-v1,1410261154.9,,,,,7.8,,,,
GW240915_001357-v1,1410394455.7,10.9,7.7,18.8,17.88,16.4,920.0,0.13,7.95,0.18
GW240915_045510-v1,1410411328.7,,,,,8.2,,,,
GW240915_105151-v1,1410432729.1,11.6,7.5,19.4,18.5,13.9,630.0,0.07,8.07,0.13
GW240916_184352-v1,1410547450.3,10.7,7.8,18.7,17.8,9.8,1280.0,0.05,7.89,0.25
GW240917_130237-v1,1410613375.7,,,,,7.8,,,,
GW240919_061559-v1,1410761777.2,38.3,29.6,67.8,64.7,16.9,1870.0,-0.02,29.0,0.34
GW240919_215453-v1,1410818111.6,,,,,10.1,,,,
GW240920_073424-v1,1410852882.5,24.7,13.4,38.2,36.7,14.0,1440.0,-0.09,15.6,0.27
GW240920_124024-v1,1410871242.9,37.1,31.9,68.8,65.6,37.4,1090.0,-0.04,29.8,0.21
GW240921_201835-v1,1410985133.8,34.9,9.8,44.8,43.7,11.3,920.0,,15.62,0.18
GW240922_142106-v1,1411050084.4,11.5,7.8,19.3,18.4,12.5,1230.0,0.07,8.12,0.24
GW240923_000715-v1,1411085253.3,,,,,11.0,,,,
GW240923_110846-v1,1411124944.5,,,,,8.6,,,,
GW240923_204006-v1,1411159224.1,46.1,34.9,79.9,76.3,13.6,4000.0,0.01,34.1,0.65
GW240924_000316-v1,1411171414.5,46.0,34.0,80.0,76.0,11.4,3700.0,0.1,34.2,0.61
GW240925_000956-v1,1411258214.3,,,,,8.5,,,,
GW240925_005809-v2,1411261108.0,9.02,6.99,16.07,15.32,31.2,356.0,0.02,6.85,0.08
GW240930_035959-v1,1411704018.0,25.5,11.2,36.8,35.5,16.1,950.0,-0.05,14.5,0.19
GW240930_123408-v1,1411734866.6,,,,,8.3,,,,
GW240930_234614-v1,1411775192.9,35.8,21.9,58.0,55.5,11.3,3600.0,0.04,23.9,0.6
GW241002_030559-v1,1411873577.7,37.3,29.9,67.2,64.2,11.9,1460.0,-0.1,28.8,0.28
GW241006_015333-v1,1412214831.5,24.6,20.3,44.9,42.7,17.6,1850.0,0.07,19.4,0.34
GW241007_082943-v1,1412325001.2,36.6,26.6,63.2,60.1,9.8,4000.0,0.11,26.7,0.65
GW241009_022835-v1,1412476133.7,37.1,26.8,64.0,61.0,8.4,5600.0,0.09,27.1,0.85
GW241009_084816-v1,1412498914.8,12.7,8.1,21.0,20.1,12.1,1130.0,-0.05,8.78,0.22
GW241009_220455-v1,1412546713.5,33.2,25.5,58.9,56.0,10.0,2900.0,0.11,25.2,0.5
GW241011_233834-v2,1412725133.0,19.5,5.96,25.5,24.4,35.8,212.0,0.5,9.09,0.05
GW241018_235402-v1,1413330860.2,,,,,9.6,,,,
GW241101_034726-v1,1414468064.2,,,,,8.2,,,,
GW241101_220523-v1,1414533941.1,41.0,19.3,60.2,57.7,10.6,2200.0,0.15,23.6,0.39
GW241102_124058-v1,1414586476.8,10.9,8.0,19.01,18.1,21.7,390.0,0.06,8.12,0.08
GW241102_144729-v1,1414594067.7,44.4,31.0,75.1,72.0,12.7,3400.0,-0.09,31.5,0.57
GW241106_110932-v1,1414926590.1,,,,,9.2,,,,
GW241109_005349-v1,1415148847.3,,,,,10.5,,,,
GW241109_033317-v1,1415158416.0,42.4,31.7,74.0,70.0,11.3,2700.0,0.01,31.4,0.46
GW241109_115924-v1,1415188782.9,7.3,5.14,12.51,11.94,11.9,600.0,0.01,5.29,0.12
GW241110_124123-v2,1415277701.7,16.4,8.0,24.5,23.7,10.2,740.0,-0.31,9.84,0.15
GW241111_111552-v1,1415358970.6,25.3,20.5,45.4,43.2,16.3,1550.0,0.1,19.5,0.29
GW241113_163507-v1,1415550925.5,19.3,14.4,33.9,31.7,12.5,1360.0,0.5,14.4,0.26
GW241114_024711-v1,1415587649.8,47.0,25.0,71.9,68.9,11.3,2600.0,0.12,29.2,0.45
GW241114_235258-v1,1415663596.1,11.3,7.7,19.1,18.2,12.4,790.0,0.06,8.04,0.16
GW241116_151753-v1,1415805491.7,70.0,24.0,99.0,95.0,10.5,5700.0,0.28,34.0,0.87
GW241124_024914-v1,1416451772.3,42.0,26.0,70.0,67.0,8.7,4500.0,0.04,28.4,0.72
GW241125_010116-v1,1416531694.8,60.0,47.0,106.0,101.0,11.0,4700.0,0.09,45.0,0.74
GW241127_061008-v1,1416723026.2,63.8,20.8,85.3,83.0,31.3,1080.0,-0.16,30.8,0.21
GW241129_021832-v1,1416881930.6,30.4,23.0,53.3,50.6,16.7,2550.0,0.17,22.7,0.45
GW241129_140416-v1,1416924274.7,,,,,8.2,,,,
GW241130_034908-v1,1416973766.6,29.9,24.3,54.2,51.6,13.8,1990.0,0.05,23.3,0.36
GW241130_110422-v1,1416999880.1,11.1,6.5,17.8,17.0,10.3,1320.0,0.04,7.31,0.25
GW241201_055758-v1,1417067896.6,47.0,33.0,80.0,76.0,9.0,7100.0,0.13,33.5,1.03
GW241201_142737-v1,1417098475.1,,,,,7.5,,,,
GW241210_023335-v1,1417833233.2,,,,,7.8,,,,
GW241210_060606-v1,1417845984.8,29.0,21.4,50.2,47.9,13.4,2600.0,0.04,21.3,0.45
GW241210_120900-v1,1417867758.6,40.0,23.6,64.0,62.0,9.0,3600.0,-0.07,26.3,0.59
GW241219_222607-v1,1418682385.3,,,,,8.7,,,,
GW241220_062146-v1,1418710924.5,,,,,7.9,,,,
GW241225_042553-v1,1419135971.2,12.4,8.1,20.6,19.6,16.5,660.0,0.12,8.65,0.14
GW241225_082815-v1,1419150513.7,55.7,42.2,98.0,94.0,19.5,1880.0,-0.17,41.8,0.34
GW241229_155844-v1,1419523142.7,52.0,33.0,85.0,82.0,8.7,6800.0,0.05,35.0,1.0
GW241230_084504-v1,1419583522.5,42.4,33.5,75.6,72.4,11.1,2900.0,-0.14,32.4,0.5
GW241230_233618-v1,1419636996.1,68.0,49.0,116.0,112.0,12.2,2700.0,-0.14,49.3,0.47
GW241231_054133-v1,1419658911.6,12.4,7.1,19.6,18.7,17.4,910.0,0.08,8.08,0.18
GW250101_011205-v1,1419729143.0,30.0,21.1,50.8,48.7,9.8,3200.0,-0.05,21.5,0.54
GW250104_015122-v1,1419990700.3,45.8,34.5,80.0,76.0,12.1,4800.0,0.11,33.9,0.76
GW250105_134047-v1,1420119665.7,,,,,8.7,,,,
GW250108_152221-v1,1420384959.7,54.0,36.0,90.0,86.0,11.8,3800.0,0.05,37.6,0.63
GW250109_010541-v1,1420419959.5,37.5,27.4,64.9,62.2,13.1,3400.0,-0.11,27.4,0.56
GW250109_074552-v1,1420443970.4,39.0,30.2,69.2,65.9,10.7,2300.0,0.07,29.6,0.41
GW250109_083206-v1,1420446744.3,,,,,10.5,,,,
GW250114_082203-v2,1420878141.2,33.76,32.26,66.0,62.9,78.6,405.0,-0.03,28.71,0.09
GW250116_015318-v1,1421027616.4,34.2,21.3,56.0,53.0,8.0,5200.0,0.15,23.0,0.8
GW250116_051426-v1,1421039685.0,,,,,7.9,,,,
GW250118_023225-v1,1421202763.9,44.0,31.0,74.0,71.0,9.0,5800.0,0.04,31.1,0.88
GW250118_055802-v1,1421215100.5,10.3,6.9,17.5,16.6,10.5,940.0,0.11,7.36,0.19
GW250118_170523-v1,1421255141.2,38.1,29.6,67.8,64.4,13.9,1910.0,0.12,29.0,0.35
GW250119_025138-v1,1421290316.8,33.8,26.7,59.9,57.1,14.5,3100.0,0.06,25.7,0.52
GW250119_190238-v1,1421348576.3,11.54,9.95,21.64,20.56,21.3,311.0,0.09,9.38,0.07
GW250120_042414-v1,1421382272.1,,,,,8.7,,,,
GW250207_115645-v1,1422964623.3,35.2,30.6,65.9,62.7,68.91,187.0,0.0,28.57,0.04
